song,artist,play_count,song_length,album,genre,track_year
Felt This Way,Carly Rae Jepsen,289,217.176,Dedicated Side B,Pop,2020
Daylight,Taylor Swift,269,293.5,Lover,Pop,2019
Fun Tonight,Lady Gaga,267,173.503,Chromatica,Pop,2020
happiness,Taylor Swift,266,315.235,evermore,Alternative,2020
The Archer,Taylor Swift,260,211.302,Lover,Pop,2019
Comeback (feat. Bleachers),Carly Rae Jepsen,239,224.049,Dedicated Side B,Pop,2020
Hold On,Adele,224,366.062,30,Pop,2021
easier said,Kacey Musgraves,218,187.427,star-crossed,Country,2021
Cruel Summer,Taylor Swift,208,178.492,Lover,Pop,2019
Real Love,Carly Rae Jepsen,206,234.985,Dedicated,Pop,2019
Tokyo Love Hotel,Rina Sawayama,205,267.424,SAWAYAMA (Deluxe Edition),Alternative,2020
Lover,Taylor Swift,202,233.499,Lover,Pop,2019
Missing the Miracle,Alanis Morissette,190,213.205,Such Pretty Forks in the Road,Alternative,2020
mirrorball,Taylor Swift,183,237.424,folklore (deluxe version),Pop,2020
Kind of Girl,MUNA,177,246.192,MUNA,Alternative,2022
I Think He Knows,Taylor Swift,175,173.453,Lover,Pop,2019
Bad Friend,Rina Sawayama,174,208.19,SAWAYAMA (Deluxe Edition),Alternative,2020
Cornelia Street,Taylor Swift,168,287.343,Lover,Pop,2019
Sober,Kelly Clarkson,166,290.69,My December,Pop,2007
I Drink Wine,Adele,166,376.232,30,Pop,2021
this is me trying,Taylor Swift,161,209.351,folklore (deluxe version),Pop,2020
Never Really Over,Katy Perry,160,223.352,Smile,Pop,2020
Easy On Me,Adele,159,224.746,30,Pop,2021
You Need To Calm Down,Taylor Swift,153,204.01,Lover,Pop,2019
Love Me 4 Me,Rina Sawayama,151,192.168,SAWAYAMA (Deluxe Edition),Alternative,2020
Hate Me,Miley Cyrus,151,157.849,Plastic Hearts,Pop,2020
Losing the Plot,Alanis Morissette,150,237.503,Such Pretty Forks in the Road,Alternative,2020
Love Me Right,Lady Gaga,144,170.825,Chromatica,Pop,2020
Enchanted,Taylor Swift,144,352.246,Speak Now,Country,2010
Wonder Woman,Kacey Musgraves,143,240.516,Golden Hour,Country,2018
Want You in My Room,Carly Rae Jepsen,141,166.347,Dedicated,Pop,2019
Space Cowboy,Kacey Musgraves,141,216.349,Golden Hour,Country,2018
Too Much,Carly Rae Jepsen,140,197.16,Dedicated,Pop,2019
champagne problems,Taylor Swift,137,244.082,evermore,Alternative,2020
august,Taylor Swift,136,262.005,folklore (deluxe version),Pop,2020
Rain On Me,Lady Gaga & Ariana Grande,133,182.276,Chromatica,Pop,2020
Delicate,Taylor Swift,131,232.315,reputation,Pop,2017
evermore (feat. Bon Iver),Taylor Swift,131,304.16,evermore,Alternative,2020
Death By A Thousand Cuts,Taylor Swift,129,199.125,Lover,Pop,2019
Don’t You (Taylor’s Version) [From The Vault],Taylor Swift,128,208.683,Fearless (Taylor's Version),Country,2021
Goodbye,MARINA,127,283.173,Ancient Dreams In A Modern Land,Pop,2021
exile (feat. Bon Iver),Taylor Swift,125,285.71,folklore (deluxe version),Alternative,2020
Babylon,Lady Gaga,124,181.138,Chromatica,Pop,2020
Free Woman,Lady Gaga,124,191.531,Chromatica,Pop,2020
Silk Chiffon (feat. Phoebe Bridgers),MUNA,124,206.657,MUNA,Alternative,2021
.,girl in red,123,166.301,if i could make it go quiet,Alternative,2021
pov,Ariana Grande,119,201.943,Positions,Pop,2020
coney island (feat. The National),Taylor Swift,119,275.415,evermore,Alternative,2020
Born to the Night,Ava Max,115,199.389,Heaven & Hell,Pop,2020
Miss Americana & The Heartbreak Prince,Taylor Swift,113,234.196,Lover,Pop,2019
long story short,Taylor Swift,113,216.005,evermore,Alternative,2020
Plastic Doll,Lady Gaga,112,221.758,Chromatica,Pop,2020
When We Were Young,Adele,111,290.969,25,Pop,2015
Smiling,Alanis Morissette,108,257.509,Such Pretty Forks in the Road,Alternative,2020
All Night Parking (with Erroll Garner) Interlude,Adele,108,161.889,30,Pop,2021
OMG,Gryffin & Carly Rae Jepsen,106,216.038,OMG - Single,Dance,2019
Her,Alanis Morissette,106,250.543,Such Pretty Forks in the Road,Alternative,2020
Still on My Mind,Dido,105,184.505,Still on My Mind (Deluxe Edition),Pop,2019
gold rush,Taylor Swift,105,185.405,evermore,Alternative,2020
Home By Now,MUNA,105,269.091,MUNA,Alternative,2022
Love Is A Game,Adele,103,403.098,30,Pop,2021
Imploding the Mirage,The Killers,102,247.896,Imploding the Mirage,Alternative,2020
Ablaze,Alanis Morissette,100,237.795,Such Pretty Forks in the Road,Alternative,2020
One and Only,Adele,99,348.276,21,Pop,2011
Heartbeat,Carly Rae Jepsen,99,252.725,Dedicated Side B,Pop,2020
Spiral,Alanis Morissette,99,257.3,Havoc and Bright Lights,Alternative,2012
Happy,P!nk,98,181.789,Hurts 2B Human,Pop,2019
Angels Like You,Miley Cyrus,98,196.51,Plastic Hearts,Pop,2020
Physical,Dua Lipa,97,193.886,Future Nostalgia,Pop,2020
Bad Romance,Lady Gaga,97,294.568,The Fame Monster,Pop,2009
You Stupid Bitch,girl in red,97,196.022,if i could make it go quiet,Alternative,2021
Stupid Love,Lady Gaga,96,193.609,Stupid Love - Single,Pop,2020
Cyber Sex,Doja Cat,95,165.79,Hot Pink,R&B/Soul,2019
Love Me Like That (feat. Carly Rae Jepsen),The Knocks,94,271.51,55,Electronica,2016
Shallow,Lady Gaga & Bradley Cooper,93,217.269,A Star Is Born Soundtrack,Soundtrack,2018
Fire in Bone,The Killers,93,233.43,Imploding the Mirage,Alternative,2020
Night Crawling (feat. Billy Idol),Miley Cyrus,93,189.08,Plastic Hearts,Pop,2020
my tears ricochet,Taylor Swift,92,295.241,folklore (deluxe version),Pop,2020
Love You Like That,Dagny,92,178.004,Love You Like That - Single,Pop,2017
hookup scene,Kacey Musgraves,91,201.557,star-crossed,Country,2021
Love Sux,Avril Lavigne,91,168.898,Love Sux,Alternative,2022
Save Your Tears (Remix),The Weeknd & Ariana Grande,89,191.014,Save Your Tears (Remix) - Single,R&B/Soul,2021
Tomorrow,Avril Lavigne,89,230.333,Let Go (20th Anniversary Edition),Pop,2022
Chinatown (feat. Bruce Springsteen),Bleachers,89,244.264,Take the Sadness Out of Saturday Night,Alternative,2021
How Dare You Want More,Bleachers,89,240.266,Take the Sadness Out of Saturday Night,Alternative,2021
Paradisin',Rina Sawayama,88,186.084,SAWAYAMA (Deluxe Edition),Alternative,2020
STFU!,Rina Sawayama,88,204.056,SAWAYAMA (Deluxe Edition),Alternative,2019
I Try,Macy Gray,88,239.49,On How Life Is,Pop,1999
Golden G String,Miley Cyrus,87,235.798,Plastic Hearts,Pop,2020
911,Lady Gaga,86,172.213,Chromatica,Pop,2020
"Boom, Boom, Boom, Boom!!",Vengaboys,85,202.64,Greatest Hits!,Pop,2009
It's Nice To Have A Friend,Taylor Swift,84,150.488,Lover,Pop,2019
Teardrops On My Guitar (Radio Single Remix),Taylor Swift,84,203.104,Taylor Swift (Bonus Track Version),Country,2006
Shadow of the Day,LINKIN PARK,84,289.82,Minutes to Midnight (Deluxe Edition),Hard Rock,2007
Treacherous (Taylor's Version),Taylor Swift,84,242.802,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Dream of You,Camila Cabello,83,223.05,Romance,Pop,2019
Holy Ground (Taylor's Version),Taylor Swift,83,203.03,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Before I Cry,Lady Gaga,82,258.6,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
It's Not Christmas Till Somebody Cries,Carly Rae Jepsen,81,172.315,It's Not Christmas Till Somebody Cries - Single,Christmas,2020
Til You,Alanis Morissette,80,247.524,Havoc and Bright Lights,Alternative,2012
Fever,Carly Rae Jepsen,79,184.993,E•MO•TION: Side B,Pop,2016
To Be Loved,Adele,79,404.027,30,Pop,2021
Blow Me (One Last Kiss),P!nk,78,256.835,The Truth About Love,Pop,2012
tolerate it,Taylor Swift,78,245.517,evermore,Alternative,2020
The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,78,200.351,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Window,Carly Rae Jepsen,77,198.484,Dedicated Side B,Pop,2020
Heal Me,Lady Gaga,77,196.858,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
Only Love,Katy Perry,77,198.786,Smile,Pop,2020
Breathe (Taylor’s Version) [feat. Colbie Caillat],Taylor Swift,76,263.466,Fearless (Taylor's Version),Country,2021
camera roll,Kacey Musgraves,76,159.381,star-crossed,Country,2021
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,76,226.052,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Look What I Found,Lady Gaga,75,175.31,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
Happier Than Ever,Billie Eilish,75,298.972,Happier Than Ever,Alternative,2021
Who's Gonna Save U Now?,Rina Sawayama,74,201.734,SAWAYAMA (Deluxe Edition),Alternative,2020
ME! (feat. Brendon Urie of Panic! At the Disco),Taylor Swift,73,193.07,ME! (feat. Brendon Urie of Panic! At The Disco) - Single,Pop,2019
Biutyful,Coldplay,73,192.492,Music of the Spheres,Pop,2021
I Bet You Think About Me (Taylor's Version) (From The Vault) [feat. Chris Stapleton],Taylor Swift,73,285.175,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Can I Get It,Adele,73,210.442,30,Pop,2021
I'm Still Here,Sia,72,241.975,I'm Still Here - Single,Pop,2018
Spanish Doors,Liz Phair,71,237.261,Soberish,Alternative,2021
State Of Grace (Taylor's Version),Taylor Swift,71,295.487,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Home,Daughtry,70,255.721,Daughtry,Rock,2006
Bite Me,Avril Lavigne,70,159.832,Love Sux,Alternative,2021
Oh My God,Adele,70,225.21,30,Pop,2021
Hello,Adele,69,295.566,25,Pop,2015
Untouchable (Taylor’s Version),Taylor Swift,69,312.176,Fearless (Taylor's Version),Country,2021
Just Like Old Times,Natalie Imbruglia,69,219.541,Firebird,Rock,2021
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,69,284.852,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Afterglow,Taylor Swift,68,223.352,Lover,Pop,2019
Store,Carly Rae Jepsen,68,192.841,E•MO•TION: Side B,Pop,2016
hoax,Taylor Swift,68,221.866,folklore (deluxe version),Pop,2020
Babe (feat. Taylor Swift),Sugarland,68,215.179,Bigger,Country,2018
dorothea,Taylor Swift,68,225.951,evermore,Alternative,2020
Gorgeous,Taylor Swift,67,209.745,reputation,Pop,2017
Don't Leave Home,Dido,67,226.626,Life for Rent,Pop,2003
The Edge of Glory,Lady Gaga,67,321.596,Born This Way,Pop,2011
Pandora's Box,MARINA,67,212.187,Ancient Dreams In A Modern Land,Pop,2021
The Last Time (Taylor's Version) [feat. Gary Lightbody],Taylor Swift,67,299.172,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Beautiful Trauma,P!nk,66,250.125,Beautiful Trauma,Pop,2017
Supercut,Lorde,66,277.571,Melodrama,Alternative,2017
Receive,Alanis Morissette,66,268.422,Havoc and Bright Lights,Alternative,2012
45,Bleachers,66,203.602,Take the Sadness Out of Saturday Night,Alternative,2021
Cut to the Feeling,Carly Rae Jepsen,65,208.027,Cut to the Feeling - Single,Pop,2017
Hair,Lady Gaga,65,308.105,Born This Way,Pop,2011
Water Under the Bridge,Adele,64,240.489,25,Pop,2015
Liability (Reprise),Lorde,64,136.068,Melodrama,Alternative,2017
Serotonin,girl in red,64,182.485,if i could make it go quiet,Alternative,2021
I Almost Do (Taylor's Version),Taylor Swift,64,244.736,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
This Love (Taylor’s Version),Taylor Swift,64,250.189,This Love (Taylor’s Version) - Single,Pop,2022
Remember When,Avril Lavigne,63,209.304,Goodbye Lullaby (Expanded Edition),Pop,2011
Tension,Dagny,63,250.125,Strangers / Lovers,Pop,2020
breadwinner,Kacey Musgraves,63,200.895,star-crossed,Country,2021
New Year’s Day,Taylor Swift,62,235.52,reputation,Country,2017
Ribs,Lorde,62,259.018,Pure Heroine,Alternative,2013
Yoü and I,Lady Gaga,62,307.432,Born This Way,Pop,2011
Want You Back,HAIM,62,232.176,Something To Tell You,Alternative,2017
Babe (Taylor's Version) (From The Vault),Taylor Swift,62,224.312,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Goddess,Avril Lavigne,61,221.286,Head Above Water,Pop,2019
Come to Mama,Lady Gaga,61,254.839,Joanne (Deluxe),Pop,2016
White Horse (Taylor’s Version),Taylor Swift,61,234.596,Fearless (Taylor's Version),Country,2021
All Too Well (Taylor's Version),Taylor Swift,61,329.229,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
I Know A Place,MUNA,61,272.857,About U,Alternative,2016
epiphany,Taylor Swift,60,289.841,folklore (deluxe version),Pop,2020
Stop Standing There,Avril Lavigne,60,207.423,Goodbye Lullaby (Expanded Edition),Pop,2011
A Thousand Miles,Vanessa Carlton,60,237.563,Be Not Nobody,Singer/Songwriter,2001
simple times,Kacey Musgraves,60,167.167,star-crossed,Country,2021
Shooting Star,MUNA,60,232.261,MUNA,Alternative,2022
Always Remember Us This Way,Lady Gaga,59,210.261,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
Chances,Dido,59,211.603,Still on My Mind (Deluxe Edition),Pop,2019
"no body, no crime (feat. HAIM)",Taylor Swift,58,215.704,evermore,Alternative,2020
Rainbow,Kacey Musgraves,58,214.392,Golden Hour,Country,2018
Taken,MUNA,58,245.922,Saves the World,Alternative,2019
Soon You'll Get Better (feat. The Chicks),Taylor Swift,57,201.642,Lover,Pop,2019
Automatically in Love,Carly Rae Jepsen,57,213.344,Dedicated,Pop,2019
Bad Karma (feat. Joan Jett),Miley Cyrus,56,188.267,Plastic Hearts,Pop,2020
Begin Again (Taylor's Version),Taylor Swift,56,238.91,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
imagine,Ariana Grande,55,212.346,"thank u, next",Pop,2018
Easy Come Easy Go,Imagine Dragons,55,179.949,Mercury - Act 1,Alternative,2021
Nothing New (Taylor's Version) (From The Vault) [feat. Phoebe Bridgers],Taylor Swift,55,258.887,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Is That Alright?,Lady Gaga,54,191.332,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
SUN GOES DOWN,Lil Nas X,54,168.089,MONTERO,Pop,2021
Why,Avril Lavigne,54,239.815,Let Go (20th Anniversary Edition),Rock,2022
If U Love Me Now,MUNA,54,254.165,About U,Alternative,2017
The Man,Taylor Swift,53,190.427,Lover,Pop,2019
Hair Body Face,Lady Gaga,53,202.71,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
Chosen Family,Rina Sawayama,53,249.01,SAWAYAMA (Deluxe Edition),Alternative,2020
'tis the damn season,Taylor Swift,53,229.933,evermore,Alternative,2020
Tell Me Why (Taylor’s Version),Taylor Swift,53,200.65,Fearless (Taylor's Version),Country,2021
Uncomfortably Me,Garbage,53,196.586,No Gods No Masters,Alternative,2021
Quiet Town,The Killers,53,256.975,Pressure Machine,Rock,2021
Paper Rings,Taylor Swift,52,222.47,Lover,Pop,2019
Getaway Car,Taylor Swift,52,233.685,reputation,Pop,2017
I Don't Wanna Know,Charli XCX,52,185.063,Charli,Pop,2019
Nip Tuck,Nicki Minaj,52,207.33,Queen,Hip-Hop/Rap,2018
Diagnosis,Alanis Morissette,52,286.998,Such Pretty Forks in the Road,Alternative,2020
Speechless,Lady Gaga,52,270.893,The Fame Monster,Pop,2009
everything i wanted,Billie Eilish,52,245.481,everything i wanted - Single,Alternative,2019
Man's World,MARINA,52,208.329,Ancient Dreams In A Modern Land,Pop,2021
Love It When You Hate Me (feat. blackbear),Avril Lavigne,52,145.151,Love Sux,Alternative,2022
I Forgot That You Existed,Taylor Swift,51,170.713,Lover,Pop,2019
Hard Feelings/Loveless,Lorde,51,367.455,Melodrama,Alternative,2017
Nobody's Fool,Avril Lavigne,51,239.885,Let Go (20th Anniversary Edition),Pop,2022
Tide Is High (Get the Feeling),Atomic Kitten,51,205.426,Atomic Kitten,Pop,2002
Secret Life (feat. Lana Del Rey),Bleachers,51,186.698,Take the Sadness Out of Saturday Night,Alternative,2021
Sorry if I Hurt You,Charli XCX,51,161.541,CRASH,Pop,2022
London Boy,Taylor Swift,50,190.31,Lover,Pop,2019
Don't Waste Your Time,Kelly Clarkson,50,215.341,My December,Pop,2007
Invisible Things,Natalie Imbruglia,50,194.922,Firebird,Rock,2021
Your Type,Carly Rae Jepsen,49,199.784,Emotion (Deluxe Expanded Edition),Pop,2015
Music to My Eyes,Lady Gaga & Bradley Cooper,49,199.256,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
I'm with You,Avril Lavigne,49,225.913,Let Go (20th Anniversary Edition),Pop,2022
Keep Holding On,Avril Lavigne,49,239.955,The Best Damn Thing (Expanded Edition),Pop,2006
Last Kiss,Taylor Swift,49,367.2,Speak Now,Country,2010
ivy,Taylor Swift,49,260.507,evermore,Alternative,2020
Come Through (feat. Lemon),Priyanka,49,168.135,Taste Test - EP,Pop,2021
Catch Me In The Air,Rina Sawayama,49,215.875,Hold The Girl,Alternative,2022
Our Song,Taylor Swift,48,201.177,Taylor Swift (Bonus Track Version),Country,2006
Cool,Dua Lipa,48,209.652,Future Nostalgia,Pop,2020
mad woman,Taylor Swift,48,238.399,folklore (deluxe version),Pop,2020
F.C.P.R.E.M.I.X.,The Fall of Troy,48,237.749,Doppelganger,Rock,2005
Tightrope,Kelly Clarkson,48,212.88,Piece by Piece (Deluxe Version),Pop,2015
XS,Rina Sawayama,48,201.131,SAWAYAMA (Deluxe Edition),Alternative,2020
Gimme What I Want,Miley Cyrus,48,151.765,Plastic Hearts,Pop,2020
willow,Taylor Swift,48,225,evermore,Alternative,2020
Kiss It Better,Rihanna,48,253.143,ANTI (Deluxe),Pop,2016
22 (Taylor's Version),Taylor Swift,48,231.082,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
This Hell,Rina Sawayama,48,236.146,Hold The Girl,Alternative,2022
All That,Carly Rae Jepsen,47,276.712,Emotion (Deluxe Expanded Edition),Pop,2015
2 Lit 2 Late Interlude,Nicki Minaj,47,55.333,Queen,Hip-Hop/Rap,2018
Sine From Above,Lady Gaga & Elton John,46,244.916,Chromatica,Pop,2020
Come See About Me,Nicki Minaj,46,246.294,Queen,Hip-Hop/Rap,2018
Realize,Colbie Caillat,46,244.157,Coco,Pop,2007
Mr. Perfectly Fine (Taylor’s Version) [From The Vault],Taylor Swift,46,278,Fearless (Taylor's Version),Country,2021
Kiss Me More (feat. SZA),Doja Cat,46,208.724,Planet Her,Pop,2021
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,46,613.095,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
This Love,Taylor Swift,45,250.148,1989 (Deluxe Edition),Pop,2014
Sour Candy,Lady Gaga & BLACKPINK,45,157.799,Chromatica,Pop,2020
Brown Eyes,Lady Gaga,45,242.95,The Fame,Pop,2008
Tattoo,Ava Max,45,159.521,Heaven & Hell,Pop,2020
it's time to go,Taylor Swift,45,254.706,evermore,Alternative,2020
New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,45,200.736,CRASH,Pop,2021
What You Think About Me,Charli XCX,45,184.134,CRASH,Pop,2022
marjorie,Taylor Swift,44,257.848,evermore,Alternative,2020
On My Way,Natalie Imbruglia,44,216.597,Firebird,Rock,2021
Western Wind,Carly Rae Jepsen,44,225.999,Western Wind - Single,Pop,2022
False God,Taylor Swift,43,200.364,Lover,Pop,2019
Enigma,Lady Gaga,43,179.826,Chromatica,Pop,2020
Reckoning,Alanis Morissette,43,205.461,Such Pretty Forks in the Road,Alternative,2020
Too Much to Ask,Avril Lavigne,43,227.525,Let Go (20th Anniversary Edition),Pop,2022
You All Over Me (Taylor’s Version) [From The Vault] [feat. Maren Morris],Taylor Swift,43,220.911,Fearless (Taylor's Version),Country,2021
The Sound,Carly Rae Jepsen,42,171.2,Dedicated,Pop,2019
Holy Ground,Taylor Swift,42,203.012,Red (Deluxe Edition),Country,2012
Caution,The Killers,42,269.583,Imploding The Mirage,Alternative,2020
Hurricane,Bridgit Mendler,42,244.041,Hello My Name Is... (Deluxe Version),Pop,2012
Life for Rent,Dido,42,221.123,Life for Rent,Pop,2003
Don't Go Dark,Bleachers,42,244.041,Take the Sadness Out of Saturday Night,Alternative,2021
Quiet,Camila Cabello,42,163.38,Familia,Pop,2022
Fake Plastic Trees,Kelly Clarkson,42,268.64,Kellyoke - EP,Pop,2022
Loudspeaker,MUNA,42,210.117,About U,Alternative,2016
Can't Be Together,Adele,41,257.760,30,Pop,2021
Million Reasons,Lady Gaga,41,205.357,Joanne (Deluxe),Pop,2016
Treacherous,Taylor Swift,41,242.811,Red (Deluxe Edition),Country,2012
Next Level Charli,Charli XCX,41,157.686,Charli,Pop,2019
Levitating,Dua Lipa,41,203.871,Future Nostalgia,Pop,2020
Take a Bow,Rihanna,41,229.482,Good Girl Gone Bad: Reloaded,Pop,2007
Hey Stephen (Taylor’s Version),Taylor Swift,41,254.32,Fearless (Taylor's Version),Country,2021
Angel Down,Lady Gaga,40,229.204,Joanne (Deluxe),Pop,2016
Soul,Matchbox Twenty,40,274.366,More Than You Think You Are (Deluxe Version),Rock,2002
"No More I Love You's""",Annie Lennox,40,292.223,The Annie Lennox Collection,Pop,2009
Birthday,Katy Perry,40,265.496,PRISM (Deluxe Version),Pop,2013
How Far We've Come,Matchbox Twenty,40,210.79,Exile On Mainstream (Deluxe Version),Pop,2007
Coast to Coast,Dagny,40,247.64,Strangers / Lovers,Pop,2020
Woman Down,Alanis Morissette,40,216.642,Havoc and Bright Lights,Alternative,2012
Listen!!!,Aly & AJ,40,230.156,a touch of the beat gets you up on your feet gets you out and then into the sun,Alternative,2021
Better Man (Taylor's Version) (From The Vault),Taylor Swift,40,297.105,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
justified,Kacey Musgraves,40,180.863,star-crossed,Country,2021
Joanne,Lady Gaga,39,196.951,Joanne (Deluxe),Pop,2016
Someone Like You,Adele,39,285.303,21,Pop,2011
Feel It Twice,Camila Cabello,39,188.987,Romance,Pop,2019
Unwell,Matchbox Twenty,39,228.762,More Than You Think You Are (Deluxe Version),Rock,2002
Who Knew,P!nk,39,212.643,I'm Not Dead (Bonus Tracks),Pop,2006
Mamma Mia,ABBA,39,212.369,Gold: Greatest Hits,Pop,1992
Little Wonders,Rob Thomas,39,225.187,Meet the Robinsons (Soundtrack from the Motion Picture),Soundtrack,2007
Iris,The Goo Goo Dolls,39,289.622,Dizzy Up the Girl,Pop,1998
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,39,263.623,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Run (Taylor's Version) (From The Vault) [feat. Ed Sheeran],Taylor Swift,39,240.294,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Happy & Sad,Kacey Musgraves,39,243.28,Golden Hour,Country,2018
I Wanna Get Better,Bleachers,39,204.591,Strange Desire,Alternative,2014
Liability,Lorde,38,171.781,Melodrama,Alternative,2017
the 1,Taylor Swift,38,219.962,folklore (deluxe version),Pop,2020
Dance In the Dark,Lady Gaga,38,288.485,The Fame Monster,Pop,2009
Feels Like Tonight,Daughtry,38,238.794,Daughtry,Rock,2006
No Drug Like Me,Carly Rae Jepsen,37,208.306,Now That I Found You / No Drug Like Me - Single,Pop,2019
1000 Doves,Lady Gaga,37,215.586,Chromatica,Pop,2020
Solo,Carly Rae Jepsen,37,196.231,Dedicated Side B,Pop,2020
Sandbox Love,Alanis Morissette,37,252.656,Such Pretty Forks in the Road,Alternative,2020
Don't Tell Me,Avril Lavigne,37,202.083,Under My Skin,Pop,2004
How Does It Feel,Avril Lavigne,37,225.001,Under My Skin,Pop,2004
High,Miley Cyrus,37,196.812,Plastic Hearts,Pop,2020
Dig a Little Deeper (feat. The Pinnacle Gospel Choir),Jenifer Lewis,37,167.996,The Princess and The Frog (Original Motion Picture Soundtrack),Soundtrack,2009
Strangers By Nature,Adele,37,182.23,30,Pop,2021
For Now,P!nk,36,216.317,Beautiful Trauma,Pop,2017
State of Grace,Taylor Swift,36,323.128,Red (Deluxe Edition),Country,2012
illicit affairs,Taylor Swift,36,190.977,folklore (deluxe version),Pop,2020
Closing Time,Semisonic,36,273.066,Feeling Strangely Fine (20th Anniversary Edition),Rock,1998
Good Goes the Bye,Kelly Clarkson,36,202.895,Piece by Piece (Deluxe Version),Pop,2015
Tucked,Katy Perry,36,187.501,Smile,Pop,2020
Feeling This,blink-182,36,172.71,Blink-182 (Bonus Track Version),Rock,2003
Love Story (Taylor’s Version),Taylor Swift,36,235.842,Fearless (Taylor's Version),Country,2021
Body And Mind,girl in red,36,186.734,if i could make it go quiet,Alternative,2021
Payday (feat. Young Thug),Doja Cat,36,212.996,Planet Her,Pop,2021
Dress,Taylor Swift,35,230.434,reputation,Pop,2017
Grigio Girls,Lady Gaga,35,180.511,Joanne (Deluxe),Pop,2016
"thank u, next",Ariana Grande,35,207.457,"thank u, next",Pop,2018
Take It All,Adele,35,228.345,21,Pop,2011
Love Again,Dua Lipa,35,258.066,Future Nostalgia,Pop,2020
Too Far Gone,Bradley Cooper,35,86.215,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
The Cure,Lady Gaga,35,211.417,The Cure - Single,Pop,2017
Dear John,Taylor Swift,35,403.98,Speak Now,Country,2010
Superman (It's Not Easy) [feat. John Onrasik],Five for Fighting,35,221.75,America Town,Alternative,2001
My God (feat. Weyes Blood),The Killers,35,218.964,Imploding the Mirage,Alternative,2020
Comme Des Garçons (Like The Boys),Rina Sawayama,35,181.556,SAWAYAMA (Deluxe Edition),Alternative,2020
Somebody,Dagny,35,190.519,Strangers / Lovers,Pop,2020
Venus Fly Trap,MARINA,35,158.783,Ancient Dreams In A Modern Land,Pop,2021
angel,Kacey Musgraves,35,139.715,star-crossed,Country,2021
Everywhere (20th Anniversary Edition),Michelle Branch,35,220.074,The Spirit Room (20th Anniversary Edition),Pop,2001
22,Taylor Swift,34,232.176,Red (Deluxe Edition),Country,2012
The Louvre,Lorde,34,271.139,Melodrama,Alternative,2017
Reasons I Drink,Alanis Morissette,34,216.851,Such Pretty Forks in the Road,Alternative,2019
Mittens,Carly Rae Jepsen,34,252.749,A 604 Records Christmas,Pop,2010
Electric,Katy Perry,34,193.607,Electric - Single,Pop,2021
Pink Light,MUNA,34,251.193,Saves the World,Alternative,2019
But We Lost It,P!nk,33,207.539,Beautiful Trauma,Pop,2017
Stop and Stare,OneRepublic,33,224.606,Dreaming Out Loud (Expanded Edition),Pop,2007
Countdown,Beyoncé,33,213.553,4 (Expanded Edition),Pop,2011
Lovesick Girls,BLACKPINK,33,192.818,THE ALBUM,K-Pop,2020
Bye Bye Baby (Taylor’s Version) [From The Vault],Taylor Swift,33,242.232,Fearless (Taylor's Version),Country,2021
Havoc,Alanis Morissette,33,353.175,Havoc and Bright Lights,Alternative,2012
Red (Taylor's Version),Taylor Swift,33,223.188,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Hurts 2B Human (feat. Khalid),P!nk,32,202.71,Hurts 2B Human,Pop,2019
Don't You Remember,Adele,32,243.252,21,Pop,2011
All Too Well,Taylor Swift,32,329.212,Red (Deluxe Edition),Country,2012
betty,Taylor Swift,32,312.138,folklore (deluxe version),Pop,2020
Fall to Pieces,Avril Lavigne,32,208.747,Under My Skin,Pop,2004
Paparazzi,Lady Gaga,32,208.26,The Fame,Pop,2008
