song,artist,play_count,song_length,album,genre,track_year
Bang Bang,Green Day,4,205.496,Revolution Radio,Alternative,2016
Youngblood,Green Day,4,152.903,Revolution Radio,Alternative,2016
Judas,Kelly Clarkson,4,216.154,My December,Pop,2007
Bad Reputation,Kelly Clarkson,4,198.275,Piece by Piece (Deluxe Version),Pop,2015
If This Was a Movie,Taylor Swift,4,234.614,Speak Now (Deluxe Edition),Pop,2010
Stephen,Kesha,4,212.439,Animal (Expanded Edition),Pop,2010
Hungover,Kesha,4,232.129,Animal (Expanded Edition),Pop,2010
TiK ToK,Kesha,4,199.668,Animal (Expanded Edition),Pop,2009
Bastards,Kesha,4,231.433,Rainbow,Pop,2017
This Is Love,Dido,4,179.35,Still on My Mind (Deluxe Edition),Pop,2019
Brave,Sara Bareilles,4,220.522,The Blessed Unrest,Pop,2013
Where Is the Love?,Black Eyed Peas,4,272.602,Elephunk,R&B/Soul,2003
Paper Gangsta,Lady Gaga,4,263.314,The Fame,Pop,2008
Mary Jane Holland,Lady Gaga,4,277.891,ARTPOP,Pop,2013
Big Girls Don't Cry (Personal),Fergie,4,268.19,The Dutchess,Hip-Hop/Rap,2006
Bohemian Rhapsody,Queen,4,355.195,"The Platinum Collection (Greatest Hits I, II & III)",Rock,1975
Hold It Against Me,Britney Spears,4,229.157,Femme Fatale (Deluxe Version),Pop,2011
Loba,Shakira,4,189.265,She Wolf (Deluxe Version),Pop,2009
Love You Like a Love Song,Selena Gomez & The Scene,4,188.29,When the Sun Goes Down,Pop,2011
Stars,Demi Lovato,4,188.94,Confident (Deluxe Edition),Pop,2015
Irreplaceable,Beyoncé,4,227.903,B'Day (Deluxe Edition),Pop,2006
California King Bed,Rihanna,4,251.657,Loud (Deluxe),Pop,2010
Footprints,Sia,4,193.194,This Is Acting,Pop,2016
Straight for the Knife,Sia,4,211.278,1000 Forms of Fear,Pop,2014
Amnesia,5 Seconds of Summer,4,237.679,5 Seconds of Summer (Bonus Track Version),Pop,2014
Demons,Imagine Dragons,4,177.562,Night Visions (Deluxe Version),Alternative,2012
Give It Up,KC and The Sunshine Band,4,253.724,Happiness Forever,Pop,2015
Abracadavre,Treyarch,4,365.458,Origins (Original Game Soundtrack),Soundtrack,2013
Same Old Love,Selena Gomez,4,229.204,Revival (Deluxe),Pop,2015
Hurts So Good,John Cougar,4,219.01,American Fool,Rock,1982
Love Somebody,Rick Springfield,4,213.716,The Best of Rick Springfield,Hard Rock,1984
Never Gonna Be Alone,Nickelback,4,227.091,Dark Horse,Rock,2008
I Love Rock 'N Roll,Joan Jett & the Blackhearts,4,175.24,I Love Rock 'N Roll (Expanded Edition),Rock,1981
Setting the World On Fire (with P!nk),Kenny Chesney,4,218.801,Cosmic Hallelujah,Country,2016
Her Diamonds,Rob Thomas,4,280.055,Cradlesong (Bonus Track Version),Pop,2009
I Need You,LeAnn Rimes,4,228.321,Greatest Hits,Country,2000
Call Me When You're Sober,Evanescence,4,214.761,The Open Door,Hard Rock,2006
What About Now,Daughtry,4,250.357,Daughtry,Rock,2006
Body Back (feat. Maia Wright),Gryffin,4,214.598,Gravity (Deluxe),Dance,2019
Santa Claus Is Coming To Town,Michael Bublé,4,171.874,Christmas,Holiday,2011
Snow In California,Ariana Grande,4,207.748,Christmas Kisses - EP,Holiday,2013
Free Fallin',Tom Petty,4,255.698,Greatest Hits,Rock,1989
Good Riddance (Time of Your Life),Green Day,4,154.73,Nimrod,Alternative,1997
Low (feat. T-Pain),Flo Rida,4,229.9,Mail On Sunday,Hip-Hop/Rap,2007
Not My Problem (feat. JID),Dua Lipa,4,143.243,Future Nostalgia (The Moonlight Edition),Pop,2021
What Other People Say,Sam Fischer & Demi Lovato,4,194.961,What Other People Say - Single,Pop,2021
Untitled,Simple Plan,4,239.862,Still Not Gettin' Any,Pop,2004
Dancing With The Devil,Demi Lovato,4,244.065,Dancing With The Devil…The Art of Starting Over,Pop,2021
Carefully,Demi Lovato,4,191.802,Dancing With The Devil…The Art of Starting Over,Pop,2021
Pollyanna,Green Day,4,195.07,Pollyanna - Single,Alternative,2021
Not Sorry,Natalie Imbruglia,4,191.082,Firebird,Rock,2021
Good Side,Liz Phair,4,175,Soberish,Alternative,2019
The Game,Liz Phair,4,209.072,Soberish,Alternative,2021
Oceanic Feeling,Lorde,4,399.661,Solar Power,Alternative,2021
Tonight (feat. Eve),Doja Cat,4,168.623,Planet Her,Pop,2021
Renegade (feat. Taylor Swift),Big Red Machine,4,254.527,How Long Do You Think It's Gonna Last?,Alternative,2021
if i were you,Switchfoot,4,228.181,interrobang,Alternative,2021
fluorescent,Switchfoot,4,215.423,interrobang,Alternative,2021
wolves,Switchfoot,4,190.442,interrobang,Alternative,2021
999,Selena Gomez & Camilo,4,224.235,999 - Single,Pop Latino,2021
Distance,OneRepublic,4,180.442,Human (Deluxe),Pop,2021
I Can Be That Woman,ABBA,4,241.948,Voyage,Pop,2021
LIFE AFTER SALEM,Lil Nas X,4,210.744,MONTERO,Alternative,2021
